id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds,conference
4879929,Jarel,Dickson,Army,214,71,5,4,RB,Trenton,TN,USA,35.9807252,-88.9416829,47053,[],AAC
4879940,Will,Jeffcoat,Army,305,74,59,4,OL,Pelion,SC,USA,33.7625708,-81.2445502,45063,[],AAC
4923279,Jaxon,Hammond,Army,175,70,17,3,CB,Memphis,TN,USA,35.1490215,-90.0516285,47157,['112789'],AAC
5082118,Zach,Mundell,Army,185,69,1,3,QB,Arlington,TX,USA,32.701938999999996,-97.10562379033699,48439,['118294'],AAC
5082119,Anderson,Britton,Army,180,69,1,4,PK,Ringgold,GA,USA,34.91591,-85.1091173,13047,[],AAC
5082120,Jabril,Williams,Army,190,70,6,4,CB,Joliet,IL,USA,41.5263603,-88.0840212,17197,['118406'],AAC
5082123,Charlie,Barnett,Army,191,73,7,3,PK,Austin,TX,USA,30.2711286,-97.7436995,48453,[],AAC
5082125,Dewayne,Coleman,Army,200,70,10,4,QB,Selma,TX,USA,,,,[],AAC
5082128,Jaydan,Mayes,Army,188,70,7,3,CB,Fairfield,OH,USA,39.3458953,-84.5605031,39017,['118030'],AAC
5082131,Sabastian,Shannon,Army,195,71,19,4,RB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[],AAC
5082134,Casey,Larkin,Army,195,72,20,4,S,Brielle,NJ,USA,40.1078931,-74.0565263,34025,[],AAC
5082138,Gavin,Shields,Army,205,74,14,4,S,Pitman,NJ,USA,,,,[],AAC
5082140,Liam,Fortner,Army,210,73,4,4,WR,Knoxville,TN,USA,35.9603948,-83.9210261,47093,['118334'],AAC
5082142,Noah,Short,Army,195,72,15,4,WR,San Jose,CA,USA,37.3361905,-121.8905833,06085,['118309'],AAC
5082144,Hayden,Reed,Army,220,72,8,4,RB,Tampa,FL,USA,27.9477595,-82.458444,12057,['117847'],AAC
5082148,Eric,Ford,Army,235,75,40,4,LB,Laurel,MD,USA,39.0992752,-76.8483061,24033,['118032'],AAC
5082153,Braden,Bartosh,Army,305,74,50,4,OL,Riverside,MO,USA,39.1775032,-94.6130121,29165,['118259'],AAC
5082154,Kalib,Fortner,Army,220,73,53,4,LB,Knoxville,TN,USA,35.9603948,-83.9210261,47093,['118393'],AAC
5082155,Tanner,Bivins,Army,300,73,54,4,OL,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,[],AAC
5082158,Deshontez,Gray,Army,265,75,98,4,DL,Gaston,SC,USA,39.3940657,-120.7416059,06057,[],AAC
5082162,Ned,Brady,Army,300,76,73,4,OL,New Canaan,CT,USA,41.146763,-73.4948446,09001,[],AAC
5082167,Cooper,Allan,Army,217,73,38,4,P,Franklin,TN,USA,35.925193,-86.8689365,47187,[],AAC
5082174,Jacob,Tuioti,Army,302,73,62,4,DL,Long Beach,CA,USA,33.7690164,-118.1916048,06037,[],AAC
5082178,Jack,Latore,Army,290,77,92,4,DL,Middletown,NJ,USA,40.3942754,-74.117086,34025,[],AAC
5082180,Collin,Matteson,Army,195,72,30,4,S,Edmond,OK,USA,35.6571367,-97.4649038,40109,[],AAC
5082189,Andon,Thomas,Army,230,72,51,4,LB,Liberty Hill,TX,USA,30.6649119,-97.9225161,48491,[],AAC
5082191,Justin,Weaver,Army,190,71,5,4,CB,Decatur,GA,USA,33.7737582,-84.296069,13089,['118204'],AAC
5086232,Kyle,Kloska,Army,305,75,75,3,OL,Grand Rapids,MI,USA,42.9632405,-85.6678639,26081,[],AAC
5150297,Cale,Hellums,Army,205,70,3,3,QB,Tomball,TX,USA,30.0971621,-95.6160549,48201,[],AAC
5150298,Stephen,Nnadozie,Army,190,71,3,3,S,Fort Worth,TX,USA,32.753177,-97.3327459,48439,[],AAC
5150302,James,Wagenseller,Army,225,75,46,3,P,Poway,CA,USA,32.9628234,-117.0358646,06073,[],AAC
5150311,Lloyd,Benson III,Army,195,68,23,3,WR,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,[],AAC
5150312,David,Clerk,Army,175,69,26,3,WR,Burleson,TX,USA,32.5420821,-97.3208492,48251,[],AAC
5150316,Samari,Howard,Army,190,67,27,3,WR,Temple,TX,USA,31.098207,-97.3427847,48027,[],AAC
5150317,Christian,Yousefzadeh,Army,240,75,49,3,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[],AAC
5150319,Christopher,Williams,Army,205,69,32,3,S,San Diego,CA,USA,32.7174209,-117.1627714,06073,[],AAC
5150324,Caden,Brungard,Army,210,72,31,3,CB,Scranton,PA,USA,41.4086874,-75.6621294,42069,[],AAC
5150326,Carson,Smith,Army,240,72,34,3,RB,Middletown,MD,USA,39.4437567,-77.5454038,24021,[],AAC
5150327,Jake,Lindsey,Army,215,71,44,3,LB,Saint Marys,GA,USA,30.7305142,-81.5464928,13039,[],AAC
5150328,Brady,Mott,Army,220,73,18,3,RB,Vacaville,CA,USA,38.3565773,-121.9877444,06095,[],AAC
5150329,Jake,Rendina,Army,240,71,33,3,RB,Kalispell,MT,USA,48.2022563,-114.3167117,30029,[],AAC
5150331,Baylor,Newsom,Army,220,73,21,3,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[],AAC
5150332,Kurt,Thompson,Army,200,75,83,3,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[],AAC
5150333,Parker,Poloskey,Army,250,76,44,3,TE,Boca Raton,FL,USA,26.3586885,-80.0830984,12099,[],AAC
5150334,CJ,Bowens,Army,232,74,59,2,LB,Port Saint Lucie,FL,USA,27.2939333,-80.3503283,12111,[],AAC
5150338,Brian,Dyer,Army,245,76,80,3,TE,Plano,TX,USA,33.0136764,-96.6925096,48085,[],AAC
5150339,Noah,Nixon,Army,227,74,47,3,LB,Orlando,FL,USA,28.5421109,-81.3790304,12095,[],AAC
5150340,Isaiah,Birl,Army,220,72,36,3,LB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,['112799'],AAC
5150342,Drew,Prieto,Army,200,71,66,3,LS,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[],AAC
5150344,Brady,Small,Army,315,72,51,3,OL,Mount Ephraim,NJ,USA,,,,[],AAC
5150347,Owen,Walter,Army,225,72,55,3,LS,Arlington Heights,IL,USA,42.0811563,-87.9802164,17031,[],AAC
5150349,Tyler,Lee,Army,315,73,56,3,OL,Tomball,TX,USA,30.0971621,-95.6160549,48201,[],AAC
5150351,Nick,Moore,Army,290,75,57,2,OL,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[],AAC
5150352,Henry,Appleton,Army,300,74,58,3,OL,Denton,TX,USA,33.2150386,-97.1330516,48121,[],AAC
5150355,Brandon,Wraalstad,Army,290,75,64,3,OL,Oconomowoc,WI,USA,43.1116731,-88.4992659,55133,[],AAC
5150360,Paolo,Gennarelli,Army,300,73,71,3,OL,Kane,IL,USA,,,,[],AAC
5150362,Lane,Parks,Army,305,75,72,3,OL,Yukon,OK,USA,35.5067259,-97.7625386,40017,[],AAC
5150364,Kody,Harris-Miller,Army,310,73,52,3,DL,Middletown,DE,USA,39.4496857,-75.7166811,10003,[],AAC
5150365,Jonah,Zimmerman,Army,300,75,79,3,OL,Oceanside,CA,USA,33.1958696,-117.3794834,06073,[],AAC
5150368,Kavon,Pointer,Army,215,74,89,3,WR,Jonesboro,AR,USA,35.8428646,-90.7034522,05031,[],AAC
5150369,Dillon,Stowers,Army,270,74,96,3,DL,Lynchburg,VA,USA,37.4137536,-79.1422464,51680,[],AAC
5150370,Teddy,Williams,Army,300,76,74,3,OL,Grand Ledge,MI,USA,42.7533685,-84.7463757,26045,[],AAC
5150372,Amir,Ali,Army,276,73,90,3,DL,San Antonio,TX,USA,29.4246002,-98.4951405,48029,[],AAC
5150373,Tobi,Olawole,Army,200,73,11,3,WR,Buford,GA,USA,34.1206564,-84.0043513,13135,[],AAC
5150374,Jack,Bousum,Army,268,76,99,2,DL,Annapolis,MD,USA,38.9786401,-76.492786,24003,[],AAC
5150375,Donovan,Poe,Army,266,72,88,2,DL,Long Beach,CA,USA,33.7690164,-118.1916048,06037,[],AAC
5169547,AJ,Barbat,Army,225,72,39,2,LB,Franklin,TN,USA,35.925193,-86.8689365,47187,[],AAC
5211750,Stratton,Fuller,Army,188,71,25,1,RB,Columbia City,IN,USA,41.156928,-85.4884616,18183,[],AAC
5214412,Seth,Shigg,Army,182,70,17,1,QB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,['108358'],AAC
5219405,Aden,Self,Army,220,71,2,2,RB,Spring,TX,USA,30.0798826,-95.4172549,48201,[],AAC
5219406,Briggs,Bartosh,Army,213,70,29,2,RB,Riverside,MO,USA,39.1775032,-94.6130121,29165,[],AAC
5219407,Rob,Houston,Army,180,70,9,2,CB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[],AAC
5219408,Ethan,Washington,Army,205,73,9,2,QB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[],AAC
5219409,Cole,Searight,Army,195,70,10,2,CB,Waxhaw,NC,USA,34.9362535,-80.75079198523316,37179,[],AAC
