id,firstName,lastName,position,team,conference,jersey,year
5293692,BJ,Alleyne,WR,Army Black Knights,AAC,22,2
5219436,Brady,Anderson,WR,Army Black Knights,AAC,84,3
5390386,Mark,Andrzejewski,WR,Army Black Knights,AAC,45,1
5390368,Elijah,Bechtel,RB,Army Black Knights,AAC,29,1
5150311,Lloyd,Benson III,WR,Army Black Knights,AAC,23,4
5390387,Jackson,Blanchard,TE,Army Black Knights,AAC,47,1
5390406,Ronan,Boyle,TE,Army Black Knights,AAC,88,1
5219468,Tex,Brannan,TE,Army Black Knights,AAC,86,3
5293698,Stroman,Bridges,WR,Army Black Knights,AAC,25,2
5293707,Adam,Buffington,WR,Army Black Knights,AAC,19,2
5390362,Aiden,Burgy,WR,Army Black Knights,AAC,18,1
5390370,Joe,Callerame,RB,Army Black Knights,AAC,31,1
5390346,Christian,Cherilus,WR,Army Black Knights,AAC,3,1
5150312,David,Clerk,WR,Army Black Knights,AAC,26,4
5293738,Charlie,Daly,WR,Army Black Knights,AAC,40,2
5390348,Noah,Dolbin,WR,Army Black Knights,AAC,5,1
5150338,Brian,Dyer,TE,Army Black Knights,AAC,80,4
5293729,Kofi,Eduful,WR,Army Black Knights,AAC,81,2
5390351,Santiago,Fernandez,QB,Army Black Knights,AAC,9,1
5219426,Brennan,Fisher,RB,Army Black Knights,AAC,30,3
5211750,Stratton,Fuller,WR,Army Black Knights,AAC,43,2
150156,David,Green,WR,Army Black Knights,AAC,29,1
5293737,Josh,Greer,TE,Army Black Knights,AAC,49,2
5390381,Chevas,Gregory,RB,Army Black Knights,AAC,39,1
5390357,Andrew,Heidel,QB,Army Black Knights,AAC,15,1
5150297,Cale,Hellums,QB,Army Black Knights,AAC,3,4
5150316,Samari,Howard,WR,Army Black Knights,AAC,27,4
5293735,Jakiel,Kendricks,WR,Army Black Knights,AAC,14,2
5219417,Tim,Kloska,RB,Army Black Knights,AAC,20,3
5219475,Chace,Knox,WR,Army Black Knights,AAC,5,3
5390355,Jackson,Kreutzer,WR,Army Black Knights,AAC,13,1
5390378,Isaiah,Linyear,RB,Army Black Knights,AAC,38,1
5293684,Bryson,Luter,QB,Army Black Knights,AAC,6,2
5390377,Gavin,Madigan,RB,Army Black Knights,AAC,37,1
5293741,Andrew,Astone,P,Army Black Knights,AAC,93,2
5295638,Cole,Bowers,K,Army Black Knights,AAC,17,1
5219474,Matthew,Faulk,P,Army Black Knights,AAC,98,3
5390359,Ryker,Floyd,P,Army Black Knights,AAC,16,1
5293742,Luca,Guerra,K,Army Black Knights,AAC,96,2
5390375,Grant,Horvath,P,Army Black Knights,AAC,36,1
5219463,Bryson,Hosea,K,Army Black Knights,AAC,90,3
5219473,Jake,Hulstein,K,Army Black Knights,AAC,97,3
5219470,Dawson,Jones,K,Army Black Knights,AAC,95,3
5390358,Alex,Krishan,K,Army Black Knights,AAC,15,1
5148741,Khamani,Alexander,RB,Charlotte 49ers,AAC,5,2
5153730,Jaden,Barnes,WR,Charlotte 49ers,AAC,1,4
5220007,Tank,Boston,WR,Charlotte 49ers,AAC,4,2
5212700,Jariel,Cobb,RB,Charlotte 49ers,AAC,24,2
5226267,Zyheem,Collick,WR,Charlotte 49ers,AAC,8,2
5302734,Brody,Dawyot,TE,Charlotte 49ers,AAC,19,1
5382265,Malachi,Drayton,RB,Charlotte 49ers,AAC,27,1
5228760,Derrick,Eley,WR,Charlotte 49ers,AAC,89,2
5219479,Seth,Franklin,WR,Charlotte 49ers,AAC,18,3
5382279,Shelden,Golliday,WR,Charlotte 49ers,AAC,82,1
5089540,Cole,Gonzales,QB,Charlotte 49ers,AAC,9,4
5156879,Jaylen,Hampton,WR,Charlotte 49ers,AAC,2,2
4801306,Conner,Harrell,QB,Charlotte 49ers,AAC,15,4
5216676,Jeremiah,Hoffman,WR,Charlotte 49ers,AAC,80,1
4870747,Adam,Hopkins IV,WR,Charlotte 49ers,AAC,14,3
5293893,KD,Hunter-Gibson,WR,Charlotte 49ers,AAC,11,4
5151037,Jason,Jeffares,TE,Charlotte 49ers,AAC,85,3
5228652,Grant,Laskey,TE,Charlotte 49ers,AAC,83,2
4915837,Grayson,Loftis,QB,Charlotte 49ers,AAC,12,3
5382269,Sean,Manuel,WR,Charlotte 49ers,AAC,38,1
4606685,Logan,Mauldin,TE,Charlotte 49ers,AAC,3,4
4708099,Gus,McGee,TE,Charlotte 49ers,AAC,17,4
5293896,Luke,McNulty,QB,Charlotte 49ers,AAC,16,1
5382271,Chris,Najm,RB,Charlotte 49ers,AAC,41,1
5326883,Donte,Nicholson,WR,Charlotte 49ers,AAC,20,1
4880358,Cam,Pedro,WR,Charlotte 49ers,AAC,0,4
5295750,D'Mariun,Perteet,RB,Charlotte 49ers,AAC,6,3
5228653,Brady,Rhoads,TE,Charlotte 49ers,AAC,81,2
4879655,Henry,Rutledge,RB,Charlotte 49ers,AAC,21,4
5302733,Caleb,Tucker,WR,Charlotte 49ers,AAC,13,1
5138656,Lane,Wadle,TE,Charlotte 49ers,AAC,88,3
5220006,Charlie,Birtwistle,K,Charlotte 49ers,AAC,99,2
5293889,Aiden,Bui,K,Charlotte 49ers,AAC,84,1
5293895,Ian,Kelly,P,Charlotte 49ers,AAC,44,1
5151047,Bronson,Long,P,Charlotte 49ers,AAC,95,4
4685237,Michael,Allen,RB,East Carolina Pirates,AAC,21,4
5261753,Michael,Beatty,RB,East Carolina Pirates,AAC,22,3
5160081,Mason,Brown,TE,East Carolina Pirates,AAC,45,4
5291709,Trey,Burke,QB,East Carolina Pirates,AAC,13,1
5084705,Trenton,Cloud,WR,East Carolina Pirates,AAC,87,3
5196644,Stephen,Collier,TE,East Carolina Pirates,AAC,85,2
5226083,Jason,Dickerson,WR,East Carolina Pirates,AAC,24,3
5079419,TJ,Engleman Jr.,RB,East Carolina Pirates,AAC,4,3
5226082,DaMari,Gantt,RB,East Carolina Pirates,AAC,26,3
5194306,Ashton,Gray,RB,East Carolina Pirates,AAC,3,3
4433829,Mitch,Griffis,QB,East Carolina Pirates,AAC,12,4
5153369,Ja'Keith,Hamilton,WR,East Carolina Pirates,AAC,15,4
4911906,Kanen,Hamlett,TE,East Carolina Pirates,AAC,6,4
5258470,Cole,Hodge,QB,East Carolina Pirates,AAC,7,2
5166911,Connor,Hodge,WR,East Carolina Pirates,AAC,84,2
5382341,Jacob,Holland,TE,East Carolina Pirates,AAC,89,1
5226090,Ty,Johnson,WR,East Carolina Pirates,AAC,80,3
4869324,Tyler,Johnson,WR,East Carolina Pirates,AAC,2,4
5293902,DeJuan,Lacy,RB,East Carolina Pirates,AAC,5,3
5148837,Dillon,Lorick,WR,East Carolina Pirates,AAC,14,3
5331728,Meliq,Mcgowan,RB,East Carolina Pirates,AAC,23,1
5145453,Jeremiah,Melvin,WR,East Carolina Pirates,AAC,11,3
5293915,Kaleb,Morrow,TE,East Carolina Pirates,AAC,86,2
4430798,Kyler,Pearson,WR,East Carolina Pirates,AAC,0,4
4870951,Jaquaize,Pettaway,WR,East Carolina Pirates,AAC,19,4
5382334,Daulton,Phalines,QB,East Carolina Pirates,AAC,11,1
5159027,Dawson,Quarterman,WR,East Carolina Pirates,AAC,88,1
4870770,Ray,Ray Joseph Jr.,WR,East Carolina Pirates,AAC,1,4
5081157,Gage,Reale,TE,East Carolina Pirates,AAC,82,4
5082102,Andrew,Conrad,K,East Carolina Pirates,AAC,95,4
5155298,Elliot,Huether,P,East Carolina Pirates,AAC,83,4
5226085,Tomas,O'Halloran,P,East Carolina Pirates,AAC,48,3
5089443,Noah,Perez,K,East Carolina Pirates,AAC,43,4
4429093,Quincy,Brown,WR,Florida Atlantic Owls,AAC,4,4
5236363,Mykel,Calixte,WR,Florida Atlantic Owls,AAC,83,1
5164633,Jade,Card,WR,Florida Atlantic Owls,AAC,14,1
5079390,Martavious,Collins,TE,Florida Atlantic Owls,AAC,13,1
5219683,Jett,Coolman,WR,Florida Atlantic Owls,AAC,88,4
5215500,Ethan,Ervin,RB,Florida Atlantic Owls,AAC,21,1
4568336,Zach,Gibson,QB,Florida Atlantic Owls,AAC,7,4
5295328,Chase,Hanning,WR,Florida Atlantic Owls,AAC,26,3
5151828,Joshua,Harriott,RB,Florida Atlantic Owls,AAC,20,2
4917048,Dominique,Henry,WR,Florida Atlantic Owls,AAC,9,3
5215467,Branden,Hoch,WR,Florida Atlantic Owls,AAC,19,1
5097365,Michael,Kirch,TE,Florida Atlantic Owls,AAC,89,4
5307117,Billy,Lyons,TE,Florida Atlantic Owls,AAC,86,1
5215248,Jordan,Magwood,QB,Florida Atlantic Owls,AAC,17,1
4914830,Easton,Messer,WR,Florida Atlantic Owls,AAC,8,3
4918107,Reid,Mikeska,TE,Florida Atlantic Owls,AAC,6,2
5219682,Devarius,Mitchell,WR,Florida Atlantic Owls,AAC,11,4
5146725,Kaden,Shields-Dutton,RB,Florida Atlantic Owls,AAC,28,2
5295331,Darius,Smith,RB,Florida Atlantic Owls,AAC,36,2
4950560,Xavier,Terrell,RB,Florida Atlantic Owls,AAC,25,2
5219668,Michael,Valentino,QB,Florida Atlantic Owls,AAC,15,1
4869991,Caden,Veltkamp,QB,Florida Atlantic Owls,AAC,10,3
